id,route,component,integration,target,state_fixture,expected,test_or_evidence,status
GLOBAL-TARGETS,all,viewport policy,layout,1340x800 and 1280x720,normal,Only Lenovo Tab M9 landscape and laptop floor are supported,tests/e2e/*.spec.js,verified-automated
GLOBAL-NOSCROLL,all,bounded shell,layout,both targets,long and unavailable,No document or card scrolling and no clipped required content,tests/e2e/home-runtime.spec.js; tests/e2e/controls-layout.spec.js; tests/e2e/weather-earthship-layout.spec.js; tests/e2e/energy-layout.spec.js,verified-automated
GLOBAL-CREDENTIALS,all,OpenHAB client,security,live LAN,route navigation,Browser sends no Authorization header or accessToken query,http://127.0.0.1:5190 live browser audit 2026-07-18,verified-live
HEADER-ALERTS,all,header alerts,alerts,both targets,connection and equipment faults,Alerts occupy the header and remain bounded,tests/console-alerts.test.js; tests/ui/HeaderAlerts.test.js,verified-automated
HEADER-BITCOIN,all,header status,content,both targets,normal,Bitcoin price is absent from the header,tests/home-tablet-contract.test.js,verified-automated
HOME-ADVISORY,home,advisory presentation,content,both targets,normal and alert,Advisory appears only in the header and is not duplicated,tests/e2e/home-runtime.spec.js,verified-automated
HOME-TITLES,home,card titles,layout,both targets,normal,Primary Home cards use the available space without redundant visible titles,tests/home-tablet-contract.test.js,verified-automated
HOME-OUTDOOR,home,outdoor temperature card,readability,both targets,normal and unavailable,White large temperature with dynamic provider icon and AQI UV rain chips,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-SPARK-COLOR,home,outdoor sparkline,color policy,both targets,temperature bands,Sparkline uses the exact same color band as the outdoor icon,tests/home-card-state.test.js,verified-automated
HOME-INDOOR,home,indoor temperature card,readability,both targets,normal and unavailable,White primary temperature and matching-size metadata with house thermometer icon,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-BATTERY,home,battery SoC card,status,both targets,charging discharging idle,Centered percentage without SOC label plus color-coded direction and both runtimes,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-BITCOIN,home,Bitcoin card,content,both targets,positive negative unavailable,No in-card history chart and color-coded icon matching Overview conventions,tests/home-tablet-contract.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-WIND,home,wind compass,geometry,both targets,wind and gust bands,Compass scales to card with bold cardinal labels and colored wind metadata,tests/ui/CompassRose.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-BARO,home,barometric sparkline,smoothing,both targets,noisy history,Compact pressure sparkline receives stronger continuous smoothing,tests/history-pipeline.test.js; tests/home-card-state.test.js,verified-automated
HOME-RAIN,home,rain card,content,both targets,rain and dry,Rain icon and reduced text fit with harvested gallons,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-SUNMOON,home,sun and moon card,content,both targets,normal,Rows are vertically centered and include days to next equinox or solstice,tests/ui/SeasonCountdown.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-GOAT,home,goat feedings card,OpenHAB and feedback,both targets,count and OFF to ON,Daily count is read-only and real activation produces brief visual and optional quiet chime,tests/ui/GoatFeedingsCard.test.js; live GoatFeedingsToday and two IDLE rules verified 2026-07-18,verified-live
HOME-VERTICAL,home,all Home cards,layout,both targets,normal,Card contents are vertically justified without overlap,tests/e2e/home-runtime.spec.js,verified-automated
CHART-PERIODS,home and energy,history period controls,history,both targets,4h 24h 7d 30d,Each selection issues its exact fresh time range and updates pressed state,tests/history-periods.test.js; tests/ui/HistoryChart.test.js; tests/e2e/energy-layout.spec.js,verified-automated
CHART-SMOOTHING,home,compact sparklines,history,both targets,gaps and flapping values,Only compact analog sparklines are smoothed while full charts stay raw,tests/history-pipeline.test.js; tests/series-policy.test.js,verified-automated
ENERGY-PREDICTED-TROUGH,energy,battery history chart,OpenHAB persistence,both targets,scalar prediction and history,Prediction history renders and current trough projects as a dashed future segment,tests/chart-options.test.js; live chart audit 2026-07-18,verified-live
ENERGY-PV-PLOT,energy,solar PV history chart,layout,both targets,normal,Both Energy plots remain at least 64px high and contained,tests/e2e/energy-layout.spec.js,verified-automated
WEATHER-AQI,weather,current AQI card,OpenHAB numeric item,both targets,numeric and unavailable,Current numeric AQI is truthful freshness-aware and correctly banded,tests/aqi-consumption.test.js; live Current_US_AQI numeric verification 2026-07-18,verified-live
WEATHER-LAYOUT,weather,weather board,layout,both targets,normal and unavailable,Hourly daily and measured tiles fit with no scrolling,tests/e2e/weather-earthship-layout.spec.js,verified-automated
EARTHSHIP-ORDER,earthship,passive thermal loop,semantics,both targets,normal,North Mass then Room Air then South Wall then Outdoor from left to right,tests/ui/ThermalLoop.test.js; tests/e2e/weather-earthship-layout.spec.js,verified-automated
EARTHSHIP-LAYOUT,earthship,thermal board,layout,both targets,normal and unavailable,Advisory thermal loop mass buffering greywater and humidity all fit,tests/e2e/weather-earthship-layout.spec.js,verified-automated
CONTROLS-SAFETY,controls,control catalog,release safety,both targets,unknown maintenance safe-compat full,Unknown modes fail closed and protected loads are read-only,tests/safe-controls.test.js; tests/release-mode.test.js; tests/openhab-proxy-policy.test.js,verified-automated
CONTROLS-LAYOUT,controls,control board,layout,both targets,long and unavailable,All three columns fit without scrolling or overlap,tests/e2e/controls-layout.spec.js,verified-automated
CONTROLS-SWITCHES,controls,living-room controls,physical OpenHAB,both targets,real provider acknowledgement,Approved direct controls require an attended live acknowledgement test,Operator live test 2026-07-19: LR2 LR3 tap-toggled with provider acknowledgement and Circadian hold-toggled; LR1 presented truthful unavailable (Thing OFFLINE COMMUNICATION_ERROR — bulb unreachable),verified-live
OPENHAB-AQI,weather,AQI managed resources,OpenHAB REST,live OpenHAB,numeric current item,Thing item and link are reversible and current AQI is numeric,/tmp/earthship-ui-openhab-active/aqi.json,verified-live
OPENHAB-MAINUI-ACTUATORS,overview,protected actuator cards,OpenHAB MainUI,all 12 pages,live page graph,No MainUI page directly commands feeder or greywater actuator items,/tmp/earthship-ui-openhab-active/mainui-overview/receipt.json,verified-live
OPENHAB-GOAT-DAILY,home,daily feeding counter,OpenHAB rules,live OpenHAB,midnight and feeder ON,Daily counter and date reset rules are IDLE and item is live,live GoatFeedingsToday readback and rules verified 2026-07-18,verified-live
DEPLOY-USER-SERVICE,all,Vite household service,systemd user service,LAN port 5190,login and restart,Versioned user unit is enabled active and owns port 5190,deploy/earthship-ui.service; systemctl readback 2026-07-18,verified-live
SECURITY-TOKEN-ROTATION,all,OpenHAB API token,security,host credential,previous diagnostic exposure,Rotate token and restart only Earthship UI after fresh explicit approval,Fresh approval requested and not yet received,pending-operator-approval
DEVICE-M9-SIGNOFF,all,physical Lenovo Tab M9,real device,1340x800 landscape,normal live household state,Operator confirms across-room readability touch behavior and no scrolling,Automated target geometry is green; physical confirmation remains,pending-device-signoff
DEVICE-LAPTOP-SIGNOFF,all,laptop browser,real device,1280x720 or larger,normal live household state,Operator confirms live full-screen readability and no scrolling,Automated 1280x720 geometry is green; physical confirmation remains,pending-device-signoff
WEATHER-DETAIL-MODAL,home and weather,ten-day forecast controls and shared modal,OpenHAB Forecast_10Day_JSON and live browser,both targets,complete stale partial and unavailable,Ten day buttons open the selected ten-hour weather window with temperature precipitation radiation wind and conditions,tests/forecast-detail.test.js; tests/ui/WeatherDetailModal.test.js; tests/e2e/weather-detail-modal.spec.js; /home/sat/openhab/backups/forecast-10day-v1-predeploy/20260719T022422Z/receipt.json,verified-live
CONTROLS-FEEDER-LIVE,controls,feed-once correlated request,physical OpenHAB,live LAN,operator hold,One correlated feeding: accepted request then complete result with matching requestId and one count increment and confirmed actuator OFF,Operator live test 2026-07-19: GoatFeeder_ManualResult complete requestId ui-mrs4rc1o GoatFeedingsToday 1 to 2 actuator OFF,verified-live
CONTROLS-GREYWATER-LIVE,controls,circulation correlated request,physical OpenHAB,live LAN,operator hold during cooldown,Safety-gated request returns an explicit denial with the rule reason and the pump never starts,Operator live test 2026-07-19: SouthOutlet_ManualResult denied reason cooldown requestId ui-mrs4r2ys pump OFF,verified-live
CONTROLS-NIGHTLOAD-LIVE,controls,night-load owner matrix,physical OpenHAB,live LAN,override ON and OFF plus device request,Override follows the exact ON and OFF matrices with provider receipts and owned-device requests complete with correlated results,Operator live test 2026-07-19: override completed both directions with Shureflo restored ON goat cam coupling observed and dishwasher device request completed,verified-live
